Ingredient_ID,Common_Ingredient_Name,Ingredient_Alternate_Name,Ingredient_Definition,Ingredient_Definition_Source,Ingredient_Def_Date,Ingredient_Chem_Ref
95,EDTA,Ethylenediamine Tetraacetic Acid; Tetrasodium EDTA; Disodium EDTA,Disodium EDTA and the related ingredients bind to metal ions which inactivates them. The binding of metal ions helps prevent the deterioration of cosmetics and personal care products. It also helps to maintain clarity; protect fragrance compounds; and prevent rancidity.,http://www.cosmeticsinfo.org/ingredient/edta-and-related-ingredients,3/6/2016,na
96,Emulsifying Wax,Emulsifying Wax NF,na,http://www.cosmeticsinfo.org/ingredient/ozokerite-and-other-fossil-and-synthetic-waxes,na,na
97,Epilobium Angustifolium Flower Extract,na,na,na,na,na
98,Ergothioneine,na,na,na,na,na
99,Essential Oils,na,na,na,na,na
100,Ethoxydiglycol,na,na,na,na,na
101,Ethylene/Propulene/Styrene Copolymer,na,na,na,na,na
102,Ethylene/Propulene/Styrene Copolymer,na,na,na,na,na
103,Ethylhexylglycerin,Ethylhexyglycerine,na,na,na,na
104,Ethylparaben,na,na,na,na,na
105,Eucalyptus Oil,Eucalyptus Globulus Leaf Oil,na,na,na,na
106,Evening Primrose Oil,na,na,na,na,na
107,Evodia Rutaecarpa Fruit Extract,na,na,na,na,na
108,Fragrance,na,na,na,na,na
109,Geraniol,na,na,na,na,na
110,Ginger Root Extract,Zingiber Officinale (Ginger Root) Extract,na,na,na,na
111,Ginkgo Biloba Leaf Extract,na,na,na,na,na
112,Glycerin,glycerine; propanetriol; 1;2;3-trihydroxypropane,Glycerol is a simple polyol (sugar alcohol) compound. It is a colorless; odorless; viscous liquid that is widely used in pharmaceutical formulations.,https://en.wikipedia.org/wiki/Glycerol,2/16/2016,na
113,Glyceryl Behenate,na,Glyceryl behenate is a fat used in cosmetics; foods; and oral pharmaceutical formulations. In cosmetics; it is mainly used as a viscosity-increasing agent in emulsions. Wikipedia,http://en.wikipedia.org/wiki/Glyceryl_behenate,2/16/2016,https://pubchem.ncbi.nlm.nih.gov/compound/Glyceryl_behenate
114,Glyceryl Dibehenate,na,na,na,na,na
115,Glyceryl Stearate,Glycerin Stearate; Glycerol Monostearate,na,na,na,na
116,Glycine Soja Oil,na,na,na,na,na
117,Glycol Stearate,na,na,na,na,na
118,Goji Berry Extract,na,na,na,na,na
119,Grape Seed Oil,na,na,na,na,na
120,Green Tea Extract,Camellia Sinensis (Green Tea) Extract,na,na,na,na
121,Hamamelis Virginiana Extract,na,na,na,na,na
122,Hemp Seed Oil,na,na,na,na,na
123,Hexanediol,na,na,na,na,na
124,Honey,na,A humectant from the nectar of flowers.,https://www.dermalinstitute.com/us/library/glossary.html?l=H,3/6/2016,na
125,Hydrogenated Polydecene,na,na,na,na,na
126,Hydrogenated Polyisobutene,na,na,na,na,na
127,Hydrogenated Vegetable Oil,na,na,na,na,na
